date,isEdited,rating,review,title,userName
2022-04-28T19:21:02Z,False,2,"The interface appears to have moved to a web-based interface, but there’s no back button or way to return to the app’s main menu in certain cases. 

For instance, if I click ‘Affordable Housing’, I am sent to the City of San Jose Housing Portal website within the app. From here there is no way to return to the app’s main menu other than force-quitting the app.",Terrible interface issues,Benz145
2018-07-10T23:30:57Z,False,4,"Update: I've used this app for issue on the road (traffic light outage and dangerous debris on the road), and the response continues to be extremely responsive. My reports were forwarded to the Department of Transportation both times and resolved that day.

I have used this app three times to report illegal dumping and abandoned vehicles. I live in a neighborhood where people often dump large household items on the sidewalk and prior to installing this app, I would just get annoyed with it but didn't report it.

With the three cases I filed, someone came around within 24 hours to collect the dumped items or came and tagged the abandoned vehicle, really quick response you typically wouldn't expect from the city!

I can understand some people's gripe with some parts of the app though--for example, if you want to report a pothole while you're driving, it's a little difficult to do so. There is no location detector, so you'll always have to manually input your location. But, if you can get an approximate address of the location, that should give the city an idea of where the problem is.

Overall, I've had a great experience with this app and will continue to use it!",App itself can be improved but service has been great!,BRCL33
2017-10-06T01:47:28Z,False,1,"I was excited at first and after testing it out and finding many, many bugs, I spent some time and I wrote them all out and I had to send them to the city because there was no way to email feedback on the app. That was many months ago and to date, nothing has changed. I noticed some Graffitti in my neighborhood and I took a snapshot quickly and drove away hoping that I could then upload it later on in the day. For some reason there are multiple folders that are made in photos that doesn't allow me to find the actual picture I took and so as far as I'm concerned, the photo to report is useless. In addition to that, it takes forever for the city to respond and so the level of frustration with me and my neighbors is so high, we are so over it. We just gave up. I stopped using the app.",May have potential but not seeing any upgrades,FilomenaMaria
2025-11-28T18:33:45Z,False,1,"Where I live, there are 2 cars that are parked at a distance to save/hold parking spaces. Both belong to the same owner. He hasn’t moved them for months. When he does move them, it’s only to make room to fit his third car.
I reported it to the city because nobody can stand it anymore — there’s no parking, and people end up parking in red zones just because so many people decide to hold parking spots with extra cars.
And as soon as I submitted the report, they closed it. That’s why nobody bothers reporting anymore: in the end, they don’t pay attention, and since it’s not them who have to live with the problem, they don’t care.",Really bad service 👎🏻,abr&@?;89/05)/&&@?58!;
2021-09-23T02:56:12Z,False,1,"Whoever is receiving the reports must be either working from home or lazy. They want you to document, take pictures, licence plates, color and descriptions of everything and then they closed the case without coming out to physically look at it because the pictures weren’t clear enough for them. Get off your chair and come look at it in person. We report and you should follow up. Ridiculous app! Instead you could just call and complain and someone would just show up and tag it, report it and get it cleaned up. Nobody wants to wait 5-10 days to hear from you. We can see it taken care of.",Worthless app!,Bousta Iphone
2020-07-12T04:30:31Z,False,5,"Like many of you, I walk around my neighborhood. This app
Makes it easy to report issues..

I have taken pictures of graffiti and you can report the item and upload a photo.  The city has a pretty quick response to most things reported in the app.  

A lot of streetlights we’re out and this makes getting them fixed easy. 
Take a picture of the pole number 
Take a picture of the address

When you have a moment, select street lighting 
Report the light and pole number and the city will get it onto a list to be repaired 

Easier than a phone call- yes

Accountability to the ticket # generated- yes","San Jose, California residents need this app",Jereeeerrrfghjgg
2025-07-30T02:34:56Z,False,3,"I wish online reporting wasn’t relied on so much. I understand sj is massive but I feel like things are falling more through the cracks. I’ve reported my car vandalized by a neighbor 3 different times and never got anything back when using the app. I really wish it didn’t feel hopeless to ask the police for help. No camera no crime is what I am told. What happen to police work before cameras? :,c",Feeling of disconnect between police and community,djkkdnd
2017-09-14T11:57:18Z,False,1,"The app has its issues but that can be polished in time. The problem? They close cases without reason or with completely incorrect reasoning. 

Report a abandoned car without license plates? Closed because of not having license plate info! 

Report a abandoned car with clear images of it on a public street? Closed because it's on private property! 

Report blight? Closed because it's been reported already, yet it's still not resolved. 

Or the same excuse San Jose agencies always give, ""please be patient we are experiencing a high volume of requests""... lived here a long time with these high taxes but this is the excuse always given. Think it's time to start purging city workers, either they are mismanaged, lazy or perhaps both but one thing for sure... They are far to expensive for what we receive. San Jose residents deserve better. 

Spend some time of the maps of your neighborhood reading the comments.",Closing cases and Horrible city response,Vickie C
2019-09-13T19:04:09Z,False,1,"Referred to this app for any city service. The app doesn’t allow to give exact addresses manually or by moving the map. It tells you an address doesn’t exist even after it automatically finds an address. Nowhere near where you are.  You put the address in the note section but, I guess the reader is illiterate. Then they say they can’t find the car and close the complaint.
Just another piece of garbage to throw at the citizens that are already paying high taxes for non existent services. Why do we need The mayor and its staff if they can’t do anything for the city",Worthless App,Virizon is best
2023-07-01T04:16:56Z,False,1,"I decided to deleted the app and download it again in the hopes it would work. It stopped working for me when the app was ‘upgraded’ a couple of years ago. I was hoping bugs would have been worked out by now, sadly, that has not been my experience. When I press submit it hangs up until I finally close it or it crashes altogether. I’ve had better success with the 311 website but it would be nice to be able to use the app again. ☹️",New faster app has not worked for me,nmasente
