date,isEdited,rating,review,title,userName
2023-10-26T13:37:45Z,False,5,"I have used SCF to report illegal signs on the public right-of-way for years. However, there are times when Public Works fails to do their job and then replies on the complaint that it has been done. This is particularly annoying when they turn off “Public commenting” so that there is only one way to respond, ….. and that involves making a new request. This has happened recently at 3946 Northside Drive in Macon, GA.  Public Works has falsely stated (3 times) that the illegal signs and the illegal sign under construction had been removed. As of right now, the steel sign posts and the wooden sign posts are still in the same place, the public right-of-way. Someone in authority needs to step up and take responsibility.",Mixed Results,JRicketson
2023-08-18T22:36:19Z,False,1,"Should be called SeeClickBouncePuzzleBouncePuzzleMaybeFix

Requires a street address even when I’ve geo-located the problem on my phone, so if the problem is along a park, as they often are, this app tries to put in an address on another nearby street. And the best I can correct this is to manually type in an address of a home adjacent to the park, on the right street but a block away. After having to look up that address in Google Maps. 

My municipality has found it necessary to implement about a dozen questions/checks for an issue, and even if I haven’t answered them all (because they are off the screen in the app), the app app still lets me hit Submit, then gives me a big error message in little tiny type. You could say that’s the fault of my city’s implementation, but it still makes this app very difficult and time-consuming to use. I end up standing by the side of the road for 15-20 minutes trying to get it all straight.","Very clumsy, frustrating, time-consuming",ForestForrtheTrees
2015-11-03T20:30:49Z,False,5,"This app does exactly what you need it to do and is much easier than figuring out the address where you see an issue on the fly. Only improvement that's coming to mind would be to have the option to pre-populate the type of report via your profile. For instance, I almost never report anything beyond graffiti. I'd love for my reports to default to graffiti so I don't have to scroll through the list of options every time to make the same selection.","Nice, easy app",Danimology
2020-08-10T00:32:23Z,False,1,"Has stopped working with my local authorities and GPS locks are also taking longer or don’t work properly to get current location since last update.  The chance of all municipalities in two states no longer working with your system is pretty far fetched, so I’m going to chalk it up to an issue with the last update and location services.  You need to fix this!!!

App needs to be updated to use new iOS 12+ photo attachment API which no longer requires apps to have static and individualized permissions to our photo libraries.  The new API that’s been around since iOS 12 and is now in 13 as well, allows for the app to be given access to any photo the user chooses without needing permissions to the camera roll.  Your app doesn’t work properly when the new UI tries to serve it the photo the user chooses.  This needs to be fixed.

Worse app icon ever.  Am I fixing my heart or problems in the city/county I’m in? 🙄",Needs Update,SwankPeRFection
2019-04-08T14:13:48Z,False,3,"This is nothing but a copied and renamed version of Commonwealth Connect. I would be OK with that if they at least fixed some of the glitches and shortcomings of Commonwealth Connect. First of all, there’s no intuitive way to sort through issues in your neighborhood. Second, there is really no help through the app to explain certain things. For example, what do the different colors of the pins actually represent? Also, why is it that when I receive an email notification I can’t just click on the link and automatically open the app to that issue? Instead, it opens a web browser which is much more difficult to navigate on a mobile device. I feel like this app is an excellent start to improving our community, but it really needs a better GUI.",Just renamed Commonwealth Connect,HealGodsKids
2017-05-08T11:44:55Z,False,3,"This app is great, as it allows townspeople to report issues in their neighbourhood.  A couple of things need improvement:

It would be a great improvement using the search function to be able to filter by nearest incidents, having the most recent reports at the top.  Currently they sort and filter by location.  One has to fish through the lot to find the newest.  If I filter by newest, i get reports from adjacent communities, and have to go fishing through to find those for my town.  There is no information on the list what town the incident relates to.

I realize this may be difficult, and may require some work.  Possibly set a radius (miles?) from current location? Or add some information to the list to know what town is reporting an issue.

The communities often do not seem to close fixed incidents.  I have an incident that was fixed but the town never closed the issue, even though it's been done for months. This is a town issue, and not an issue with the app.  Perhaps the user reporting can have the option to close the incident using the app.  That way more items might be closed.",Improvements,Prof090807
2018-10-28T20:04:38Z,False,1,"Past:  great tool for reporting and getting minor issues resolved.
Present:  Poor tool where duplicate, ONGOING complaints are being erased and intentionally overlooked by the City ppl accessing this app.  They are finding reasons NOT to acknowledge and address your written, legitimate complaints. Trying to hide something... i don’t know what, but something. 

Post and post for help to no avail.  Several caring Complaints CLOSED with no resolution. This app is now a joke that is simply Not Funny. City taxes paid, but this City rudely stops you from posting a complaint until they review and revise what you are actually complaining about.  Would do better sending a News cam for exposure.  Trying to make Memphis a better place, but the real issues are covered up.  Unprofessionally awful in many ways!  You started this system- Why STOP now!",Good tool under scrutiny by City if Memphis staff responders,TaDa underReview
2023-01-27T15:32:37Z,False,1,"To report and to get results is usually quite good! Where are you are sorely lacking and have been for years is when you report back to say that the problem has been fixed you don’t receive or ignore that so 1065 days later I still get the same question on the same issue over and over again that’s where this app really needs to be fixed! Somebody is dropping the ball at the end and it’s frustrating.  And I’d like to add that, it doesn’t matter how many times I report back thatThe issue has been fixed… Still get the question a few months later asking if it has it been fixed…. some of my issues have been close to 2000 days waiting for you guys to get the message. So fix that issue and you’ll get five stars for me! And thank you for the survey‼️",Feedback,Dabwink
2017-09-08T15:26:38Z,False,1,"This apps seems useless.  I reported an illegal dump; big bundle of trash dumped in the middle of the road.  Several days later the app indicated that the issue was closed, but the trash was still there.  I called the office and they said that someone came out and pushed the garbage to the side to make the road safe.  WHAT?  I asked why did they not remove the trash.  He said maybe they didn't have the proper equipment.  WHAT?  WHAT did they think they were coming out for related to an illegal dump.  He said he would contact a supervisor and see if they can get this cleanup expedited.  Here it is a week later and still the trash remains.  I don't know if this problem is specific to Oakland, but I do know that it is very frustrating and suggestive of a dysfunctional app and city.",Is anybody home?,Josh6bro
2017-02-21T16:30:30Z,False,2,"When I attempted to report an issue, I filled out all the required fields.  There was no exact address - it was just in the middle of a road, no House number.  I listed the road name as the address.  It would not submit and kept popping up a field that said there was no location listed.  There was indeed a location listed, so I don't understand why it was giving me the error.  I had to use the Full Site (on a phone, which was a nightmare), and when I entered the exact same info, it submitted easily.
I cannot believe this is human error as I did complete all required fields and drop-downs in app reporting an Issue.  Please check into it.",Could not submit - bug in app?,Why won't this thing work???!!
2024-09-19T12:42:02Z,False,5,"Within days of reporting a damaged storm water drain with rebar exposed, the city installed a brand new one making that spot in our neighborhood where many people walk daily safe again. See Click Fix is not only a time saver, but since it is so easy to report issues, I am happy to keep submitting instead of trying to make phone calls and send emails. Wonderful tool!",Hazard fixed quickly!,Sunshine City Citizen
2026-02-02T23:08:12Z,False,4,"I be found the app to be quite useful in reporting issues such as graffiti, potholes, and other public safety issues. Seems to have some ongoing odd GPS location issues where it defaults to a specific address. Also I've noticed that there are a handful of posters responsible for a disproportionate number of reported issues including some very fickle issues such as a single candy wrapper next to a public walkway. I think the app could benefit from some moderating in such instances.","Good app no some issues,",Rustech visionary
2024-02-08T01:55:43Z,False,1,"I spoke with a clerk at the county of San Bernardino regarding an issue with the gravel along the road washing away, and was told to either email the issue with pictures or use the app.  The email address that I wrote down, came back undeliverable, so I was going to submit it on the app. The app indicates the address is not part of the county and would not let me proceed to submit the request.

The app needs to be corrected.  The address has been a part of the county for a very, very long time. It is not part of the city.  The address is located on Kendall between Yucca Street and Little League Drive and is part of the county responsibility.",Location of an issue indicates it is not part of the county area,Kim Greve
2022-10-19T10:24:58Z,False,5,"Really wish this app had a way to edit or delete a post after submitting. At least twice I’ve accidentally swiped a finger (yes, my fault) and ended up with incomplete postings.  After hitting “submit” it would be very helpful if there was a message something like “Once submitted your post cannot be edited or deleted, are you ready to submit at this time?”",Can’t edit/delete post after submitting,trecym67
2022-03-16T15:01:21Z,False,3,"I like being able to help our local authorities address problem issues in the community. What I don’t like is  when these problems are disbursed to other authorities or departments and are immediately closed. To me, closing means completed. Leave the original call open so the public can follow the process from reporting to finished. This will also help those who are about to report the issue again know that the situation is already in process and they can follothe process too if they desire.",Closing Early,Kin2u
2022-01-07T19:17:41Z,False,3,"This application is generally good for reporting information to the city. However, I would suggest adding the ability to add videos. Also, the reporting party should be the one to clear the report because the city has been clearing reports as “resolved” when they receive the report, but prior to carrying out the work. We should be able to hold the city accountable by keeping track of the length of time it took from reporting the issue, to the city actually carrying out the work.",Missing some tools,erahm85
2022-08-18T23:28:21Z,False,1,"It seems like the only goal of this app is to push an issue onto someone else. I submitted that an ottoman has been dumped at a bus stop. It went from one department to another before I was told by King County Transportation that it’s been there a while, so weee just going to leave it. Now there’s more crap over there. 
I just submitted a request for a broken or leaking water main at the Crestview Park. Just got a notice that it’s been closed because I should contact the water department. 

Useless. Glad we’re spending money on an app that is not maintained and only exists for some government employee to have one more box to check everyday.",Worse interactions ever,MDinWA
2024-04-07T01:41:37Z,False,5,Living on this alley has made me realize that much of the damage is also due to the amount of traffic using it as a through street. Many patrons leaving the pharmacy head north instead of exiting to 9th. The alley is busier than Lincoln Street to the front of my house. My wife and I are both retired and see this daily out our backyard. A no left turn sign from the pharmacy might be in order.,Alley between 8th/9th,rifar1
2024-01-21T14:48:01Z,False,4,I like the ease of reporting and the overall functions of the app. However there should be a way for the government entities to not be able to close a report without verification by a third party or the person who submitted the issue. A county near me posts an automated answer with vague information and many times the issue is not actually handled.  Or they say they have handled it even though it’s an ongoing issue.,Automated messages,Tony~10
2018-03-28T03:06:23Z,False,3,"The new version is pretty, but did little to enhance the user experience. 

The messages and notifications feed is no longer. 
You can no longer view user profiles to see issues they submitted. 
You can no longer see top contributors in your community. 

Some more minor, but annoying features that disappeared:
Way to many taps and swipes to see an issue image. 
No way to zoom in on an issue image. 
No way to tap on user profiles/usernames in the comment thread. 
No way to see total number of issues I reported. 
And more 

As you can see, many features lost, but few gained other than a new look for the same tasks. While I provided this feedback in the beta stage, unfortunately it wasn't taken into account. I hope these features are on the road map and that this app see more updates than the last one. 

Keep up the good work.","New Version, Lost Features",iSC22
2024-12-08T14:09:51Z,False,5,"I don’t know what Public Works repaired on Wednesday evening but YOU GUYS ROCK!  We have lived in Skyline for 8 years. The next day, I had the best shower of my life in 8 years!! On Saturday I could run my dishwasher and washing machine at the same time and it didn’t take forever for both of them to fill.  Whatever you repaired made a huge difference!!!  Thank you for all your hard work.  Pam Balentine",Water,Twinkie05
2025-06-01T16:27:40Z,False,3,"See click fix, has been very useful to report things such as pot holes, unlicensed auto sales for. Homes and sidewalks that need clear g.
I suggest we have a field that allow us to report vehicles registers out of state but always on mlocla property. This type of w braking causes oss of $1.3M in Stamford and that is not catching all
Of them.
Aunt some similar way we can report specifically for out of state vehicle, that don't pau local insurance, race, etc.",Useful resource most of the time- w/ suggestion License Plates tax evaders out of state.,CFIair
2022-07-30T11:11:52Z,False,5,"The city of Marlborough MA uses this app. I’ve reported a couple of issues and they always respond within the same day. Not necessarily to fix the issue but to let me know it’s on their agenda. Certainly useful in closing the time between rude things happening and getting a fix. 

A great public service tool!",It’s a local and mobile thing,Peter40B
2018-04-30T21:15:56Z,False,2,I can not report anything that asked for an address as on my phone I can not edit the location. All I see when I go to edit it is the lengthy generic text the app has. I can not scroll to the bottoms to edit it. My only choice is to report using the wrong type of report saying everything is a road issue or a park issue even when it is with a property. I never had an issue in the past being able to enter the exact address. Hope this gets solved as I like the app and my city responds well to it.,"Used to work well, now not so much",Imagemakers
2021-05-16T20:13:02Z,False,5,It is a great way to see what issues are going on on in our community’s and other community’s and stay up to date on the current issues it is also a smooth and non-complicated process to report issues and also runs smooth and doesn’t crash my phone,Great app to use and in joy,really dude why
2019-12-06T23:46:23Z,False,5,This app has made me have faith in the City of Vallejo. You record something on this app and presto it gets taken care of. Seems like it’s a great way to show accountability for the employees & you visual see things get taken care of or fixed. Makes you want to keep paying your city taxes & thank the employees for doing their jobs for us tax payers.,City of Vallejo,see94591
2024-09-17T14:22:10Z,False,1,"This app, unfortunately, is down to having only a single developer working on it and he’s limited to just 30min per week. 

If you try to use punctuation when opening a ticket, the app will remove it when you hit post. As a result, you’re going to look like an angry and illiterate lunatic when you submit your request. 

This has been a bug for years. The latest iteration of the bug removes all punctuation from your ticket and then just appends it to the end as an unbroken series of periods, commas, and question marks.","Years later, punctuation is still broken",hackasaurusrex
2020-06-09T01:05:57Z,False,5,"The previous reporting app used by Multnomah County was cumbersome and very difficult to navigate. Click/Fix is fantastic. Some of the best features are: 1)submitting a photo also provides the exact location
2)  logical screen sequence to report an issue
3) immediate submission acknowledgement and subsequent followup 
4) option to share posting with impacted neighbors",Extremely user friendly,mikier52
2016-08-05T03:17:02Z,False,5,"You guys are great I just wish you had more funding and more people working for you so you can make the streets of Vallejo a lot cleaner and better!
I mean Dang Vallejo had two presidential candidates come to our town and we have to do better than this.
So thank you see it Click it fix it! I appreciate what you do...",My Rubbish review,lunch4u
2022-10-28T16:45:00Z,False,3,It was better before they improved it. There’s very little information and it’s hard to find. It seems rather static and of little use. even when things get done it’s hard to track when they got done. It’s sort of an after the fact reporting. All you can tell is that it got assigned to somebody but that was obvious before. it used to be much more interactive.,"More confusion, less information",OurAmericanValues
2022-04-10T23:30:03Z,False,3,"The people in charge of this app could have also installed a delete button, to remove old requests over a year old. I keep getting emails on an outstanding request from 120+ days ago, just wanted it deleted. I reached out and they said they are not able to delete resolved requests. Why not?? Old resolved requests should be deleted. Please install a delete button and I’ll change my rating.",Good utility app but…,VPG7478
2015-11-30T14:20:23Z,False,3,"1)  Put your marker in a specific point. When you are done, your marker is always offset to the left of where you placed it. Sometimes that can shift it to another street. 

2) The app never gets my current location when opening it. It always defaults to a location I was at a while ago, whether in report mode or the issues near me mode. You have to then hit the button to center it near you. That should be automatic.",Few bugs preventing a five star,Wombatmatty
2019-03-22T05:59:55Z,False,4,I give this app for stars for two reasons one There is no iPad app two They change my city app and deleted it without putting a notice on the app saying to download this one I have to find out on my own imagine people that are not tech savvy and would even think about to do that. But this app is better than the website still think it could be improved.,See click fix St. Pete app gone,SexySHol
2022-06-28T14:01:44Z,False,1,"the burden on taxpayers to do the city's maintenance work, isn't the way city maintenance is supposed to happen. In return for tax dollars, the city should fix the problems such as illegal dumping and parking violations (which are obvious if the city took an hour to drive around the neighborhood) without making taxpayers take the time to report each issue piecemeal. Instead the city uses this app to pretend it's effectively listening to taxpayers when it doesn't even fix most of the problems reported. What a joke.",App doesn't let you submit requests,Tee Consigliano
2022-11-21T15:12:01Z,False,5,"I want to thank See Click Fix and the staff in Lake Elsinore for their prompt and thorough work. Cleaning up other people junk is not a pleasant job, but our residents truly appreciate your efforts. You keep our community clean and presentable and ultimately improve our property value. Thank you for everything you do!",Thank you!,Thankful Resident
2022-09-24T00:26:36Z,False,5,A big tree fell across the street and it took less than a half hour for them to show up with all the needed equipment to quickly and professionally clear the road. Friendly workers who cleaned up after themselves and had smiles the whole time. Thank you.,Incredibly great service. Really!,tech stupid savy
2024-11-18T16:45:22Z,False,4,"Sometimes—like to report an abandoned car in your neighborhood—this app requires multiple tiny details, many of which I can only guess at

But usually it’s a quick way to alert the city to non-emergency stuff that needs attention: a new pothole dangerous to cyclists, street lights out, suspicious water flows (busted sewer?) etc",Mostly fine way to alert city officials,WaltFrench
2020-08-16T16:21:16Z,False,3,"I’m still getting the same notices over and over for issues I posted 2+ years ago that we’re fixed even though I indicate that they have been fixed and should be CLOSED.
This has worked great for all the issues I’ve posted and should get 5 stars for that except for the continual notices. 
I’ll continue to use it when something comes up but once it’s fixed and I show it’s closed PLEASE stop sending me the same messages.",Used to Be Great,Hamps59
2022-05-24T19:35:35Z,False,1,"This is the only way my county will apparently let me report a problem, but it doesn’t work.  I downloaded the app and followed the instructions only to be told I already had an account.  How is that possible when I’ve never used the app before?  I then tried to register using my husband’s e-mail address & waited for a one time password to be sent.  It never happened.  I guess this is now a convenient way for our local government folks to hide behind their desks and get paid for doing nothing!",Doesn’t Work!,ATL Tarheel
2023-09-05T14:23:09Z,False,1,"Utility of the app is significantly reduced because the only way to attach a photo is most recent or camera. One cannot go to their library, and one cannot select multiple photos to upload. This functionality used to work in earlier versions of the app, but seems to not work. When trying to upload those photos from the iPhone library, the app goes back to the starting screen with no results. They need to fix this for the app to have any utility",Photos do not work right,Cyclist Edge
2020-04-17T15:40:58Z,False,5,I was able to photograph and locate an issue and submit the problem immediately to the city. On my morning walk the next day it had already been fixed. A wonderful useful and useable application!,Immediate notification of location and priblems,any nane
2022-04-12T01:58:13Z,False,1,"I used the app to take a photo of a water leak to report and it even showed the photo in the preview. As soon as I hit submit it choose the last photo from my camera album and not the one I just took in the app, which was a photo for work with sensitive data in view! Now I can’t even delete the post and it is available for anyone to view! Emailed the support group and flagged the post but still no take down. I’m furious and no way should this have been allowed to happen",Uploaded a wrong photo!,Adam1106
2020-10-18T20:58:13Z,False,4,"Starts with 5 stars because it works!
Loses one star because it's hard to use and you have to click a bunch of extra steps to acknowledge things instead of making the form better. For example one could require a street corner or description from nearest GPS point to handle some poor GPS coordinates from phone. Thanks though!",Gets things done!,nickname3746838
2020-04-27T16:19:02Z,False,4,"While my hometown city doesn't use SeeClickFix for infrastructure deficiency reporting, I live in an area where 2 neighboring cities & 3rd city about an hour away uses SeeClickFix app platform. Instead of having multiple apps for multiple cities, government agencies, etc which use the SCF platform, this app does it all in one.
Update: Downgraded to 4 stars because the comments aren’t showing in the app.",Love this app,BookerTDub
