rating,review
1,it is basically useless at this point half of it you've got to call other numbers to reach other City departments to report and the other half just as not something you would typically report in the first place unless I can update it to actually be able to report things that would help the neighborhood it's just useless
1,"It used to be very useful but now it says everything is out of service area, even for things I had to report before I can't now."
2,no longer allows parking enforcement requests
1,"I put in a report vehicles left in front of my house for over 2month, and the report is still open."
1,cannot attach photo. cannot correct address location.
1,"Even if you get past all the bugs, it's just a waste of time. Nothing is ever resolved. It's pretty much a suggestion box that gets emptied in the trash each week."
1,Pokémon Go for NIMBYs lol
1,didn't work on my phone (s25).
5,great for getting rid of pesky hobos
5,I love that I can report nearly anything to the city and actually get responses and things taken care of.
1,"This app is completely worthless. I used it for the better part of 2 years and this app is only useful for alerting the city to basic park and street maintenance (you know like a city should already do). Do not expect any response for encampments, dumping in greenbelts, stolen or illegally parked cars or dead/fallen trees. The people of Seattle are on their own to police and clean up their own city."
5,easy to use!
1,"The app is a waste of time. The city of Seattle doesn't care about enforcement of its laws, so this app is a waste of time. Every single one of my reports gets closed without a comment, and no action is taken. They won't come, they won't fix it. Fix it yourself, Seattle won't."
3,"The app works pretty well for a government app, but the city doesn't actually fix things you report so overall it's useless"
1,No way to report powerlines out from fallen trees or fallen trees blocking the road
1,For some reason i cannot figure out how to report vehicles parked over (72) hours online. Help me.
1,"This app is a charade. This provides the illusion of reporting things, but in my experience every report I have made has been ignored, canceled, deleted or otherwise neglected. No one who responds these actually has any interest in solving any of the problems of the citizens of Seattle. This is 100% done for show, and not for improving the city."
1,"I'm repeatedly getting a 500 server error when trying to file a report. I can't save a draft or anything to try again later, so I have to fill it all out again. A backup submission option (e.g., email) would be nice too."
5,"The app is fine, but Seattle won't do anything about the reported issues any more so I don't even know if there's someone to see the reports, which makes the app worthless."
5,Padlock on porta-potty at Me-Kwa-Mooks Park
1,No reply or status change regarding my request
2,It is giving me 503 errors frequently
1,Worthless. They just ignore issues. Huge waste of time.
1,"App gets stuck on the issues selection page. Also, this doesn't work when no one actually does anything on the off chance the app works."
1,Homeless have a right to exist.
1,I think this app gave me viruses
1,evil disgusting people. shame on rhese people for developing this app.
1,"Was good, now very confusing"
1,What a joke by city goverment. Taxes are being raised abd services are being cut. Now where ever you try to submit complaint it say out of area. Shame on you dow
5,"Much better than the old app. Not slick, but very good as far as ""an app from a city government""."
5,Easy to use and gets results.
5,"Make for all states, even if code enforcement doesn't acknowledge it, we can show them easier than calling in each one"
1,"Someone needed to review this app before they pushed the post button, lots of dumb dumb issues, like it assumes everyone has a Seattle address, and in parking enforcement it they left out the most popular color of car in Seattle, you know ""GRAY""! Always double check your work on an app and think a little."
1,Common Seattle L
1,Reports are closed with no action and no mention of why.
5,Great app now let's you pick the location of the report.
5,Actually useful.
2,"This app resets to the start screen when I try to include a photo inside the app. I've had better luck attaching a previously taken photo. This app seems to be a collector of problems. I wish we could also find the status here when problems are referred to departments that are not hooked up with this app. Sometimes I see very quick results. Other times oh, it seems to be a black hole."
2,Since the improvements in the app it's almost impossible to use. I tried to report a branch had taken down wires and not only was there no place to report it I also couldn't find anywhere to turn on location to map it. What was a great app is now useless
2,Find It/Ignore It Seattle Parks and Recreation just closes the reports with no status or work done. I am extremely disappointed that there are no processes in place to actually do the FIX IT part which is the whole point of reporting it.
1,What's the point of having parking enforcement requests when no one does anything with them?
2,"The new design takes much longer to submit a report and if you add an image, it just goes back to the home screen without letting you submit the report. If the goal is to reduce reported instances, then it's an improvement but if the goal is to find the things that need fixing then I wish I could report the app. Also there is no contact information to report issues with the app. Perhaps a good feature for the future?"
5,"The new update circa late 2022 is a vast improvement. Good job guys! One feature suggestion would be a way to see issues raised by others (the reporter could decide to make their issue public vs private, perhaps) and let other people 'up vote' (limited to one vote per user!) that report to help prioritize reports. It would also be nice to have a shareable link to the report that a reporter could send to neighbors to ask them to up vote if they too would like to see the issue fixed. Thanks!"
1,An unmonitored app built to shut us up temporarily. Don't download.
5,"Helped me remove homeless encampment where drug dealing was rampant. This app saved my block. Five stars for that thank you. The homeless mentally ill get away with murder in Seattle. Time for them to go, get kicked up. Fund the SPD."
2,The app is taking me to a web page that is broken. Hence the app is useless. Please fix asap.
2,Downgrade in UI. What used to take one or two pages to create a report now takes like five. The other features are nice though.
5,The last update made this app easier to use!
1,Doesnt work blank screen
1,This app is a scam. City government is hiding behind an app rather than fighting crime! Rather than allocating funds for police officers and recruiting aggressively. They spend $150 million on the Homeless Problem and have never solved any of it. They won't come out for Crime theft vandalism unless someone is holding a knife or a gun at your head. This app wastes your time. Is nothing more than a statistic and crime tracker. With zero effectiveness.
5,"Easy to use, quick, I see results in less than 10 days. Thank you"
