rating,review
1,"useless. File report, see it being immediately closed without any explanation."
1,signed up for an account but then could not login with the password I had just set. pretty useless app
2,Literally just a shell for the website. Equally slow and clunky like the website
4,"Really slow, but issues are quickly addressed and fixed."
3,"2024 update: the last version of the app is much better than early versions. One gripe is the limit to a measly 10MByte for graffiti image upload, which is small compared to the photos that most modern phones take by default. Reducing image size takes extra steps."
1,My issue was closed without any action or follow-up. What's the point?
5,"The 311 app and web version serve its purpose. Residents can report issues in a centralized database. The self service is fast and efficient. It can take some time to resolve more complex cases, but the biggest advantage is the data behind it to justify major improvement projects such as the LED streetlight replacement and the repavement project. One improvement suggestion is to make the app more interactive by allowing residents to work as a team to combat issues together."
5,Fast response and good action time.
1,Cannot register or reset pw I tried to reset a Pw for 2 emails but did not receive anything. I registered a new email but never received welcome email after 2 hours. Now I've run out of emails to test. Waste of time bc I cannot report this illegal dumping in front of my house
4,Great app and resourceful. But at times it has its moments
3,It's clumsy. Doesn't remember login info.
2,"Login bug STILL not fixed after all these years. Users STILL need to log in every time they want to submit. Otherwise, invaluable."
2,"Submit won't work :( Still doesn't work (Feb 1st) I did call in my report today, wasn't too hard, but it would have helped to be able to share a picture."
2,Why doesn't the app leave you logged in? Why do i have to log-in every time I want to make a report. This is ridiculous. Please fix this
1,"San jose , this is what you get having a liberal mayor and liberal governor... Nothing gets done..."
1,Sucks! Doesn't work at all..
1,I don't know how it's possible but they actually managed to make this app worse. You have to login every time over and over. The map is gotten even more unfriendly. Go back to the last one was a lot better
5,Well attended
1,App works half the time. But its probably not even monitored. SJPD OR THE CITY dont respond anyhow. 14 days to respond? Why not a month a year? Useless city services and a waste of tax payer money.!
5,Easy to use
1,"Unfortunately the city seems to have just given up on this app. It had a decent native interface with some flaws, but now it's just a web view portal that's really cumbersome to use. Disappointing because the city has a stated digital goal. I'd love to see them run focus groups and user feedback sessions because, to my knowledge, they are missing the ""Check"" function in PDCA continuous improvement."
1,"Ignored my pleads to complete my request for service, illegal dumping. Why create an app for the community's concerns and requests for service if nothing will happen. No communication, no action, no respect, no service. That's what San Jose leaders have to offer our community, time for change."
1,"Used this app for a long time. But can not use it anymore, with the new version. Once opened, Pop up with 2 options, update or cancel, shows up. Both redirect to Google Play. Update or Reinstal gives nothing. And going in circle. Too bad."
5,"This app is helping our community, so please you this app"
1,It doesn't work... I tried submitting a new request but it didn't do anything when pressing the submit button
3,Good morning
1,App did not allow me to register. I am trying to report an abandoned car.
1,You can't log in like others have stated. The latest update may have created an issue.
1,I can't even login on the app. However on the desktop version no problem. Uninstalling until this app gets a little help.
1,Doesn't work
1,Cannot login with google account or register a new account
1,Can't get it to acknowledge I registered. Tells me I made an error when I try to sign in. Totally worthless.
1,Dumb password confussion reset saved password back and fourth email the same password change ? Forget password
1,Enable to creat an account. Fails silently. No help screen or contact methods.
1,Cannot use Google account to login. App just freezes up. Haven't even utilized the intent of the app.
1,Now you can be ignored by an app rather than by email or phone. That's it.
