rating,review
5,Easy to use and gets results from my city.
2,slow loading of each section of submitting a report.
5,helps with quicker response.
1,terrible app. constantly glitches or freezes. use the website instead
5,very useful
1,useless
5,excellent service and app.
1,"should be renamed to ""see click ignore"" report illegal findings and watch the city make excuses rather than do their jobs. useless app!"
5,This is a great tool. This is providing a solution to a lot of the quality of life issues in our city. The app isn't perfect but I'm excited for the start.
5,been working great so far
1,Great for reporting issues... when it works. Haven't been able to upload photos for a few weeks. This really helps cities quickly identify and correct issues! PLEASE FIX!
1,"It won't upload photos. Android user. It used to work but for months now, if I want to report something, I have to take a pic, then screenshot the pic, crop down the screenshot, and then upload the pic that way. Very annoying. I've tried it online via my phone and also via the app but either way I have to follow the above annoying process."
1,"attempting to attach images results in a ""network error."" different networks didn't fix the issue. it's on the apps end"
5,I have been using this app 10 years. It works EXTREMELY WELL.
1,app is poorly constructed sign in is after report does not remember the user no home city app stalls
1,I'm no longer able to upload pictures
1,photos don't upload after recent release
2,"The SeeClickFix app started giving me an error with any photo I upload straight from my camera, but if I open it in Paint and save a new copy, it works. (Pixel Fold running up-to-date Android 15.)"
1,"Ineffective and inconsequential comes to mind when using this app to address the parking and traffic. kind of like the senior patrol car . it's not about the app it's about the response ,it's not about the patrol it's about the awareness."
5,Easy to navigate
5,they get it done 💯
1,It took 10 different passwords entered correctly and it does not work.
4,My account was deactivated I cannot file a report please reactivate my account thanks
1,Incredibly limited options for reporting. This app is worse than Boston 311 in every way. It's disappointing that this is the way some cities want issues reported.
1,This is no longer working for me
2,I didn't like this app they changed it. you used to be able to report. where you lived. I don't need this app.
1,"The service behind the app is incredible, but the mobile app is outdated in many ways, producing what I consider a horrendous experience. It can get worse if your city has a custom version that isn't maintained as well as the main app. It's like this on iOS, too."
4,Works to get the city's attention. Useful
1,it's a fantastic app for neighborhood busybodies who like harassing their neighbors over trivial nonsense.
2,"There is NO CURRENT REQUESTS!!! in fact it only has FOUR, YES 4 COMPLAINTS IN TOTAL LISTED CURRENTLY. October 21 2024 is today's date. An the four that are listed are from MAY '23!!!! I thought the app needed an update but there is non. If this app was up to date an current I would consider at best a 4 star review. If fixed I will consider revising this."
1,"Poor app 1. I cannot use the app offline as no information is stored on the phone. So when I spot a problem while out of reception this cannot be noted and prepared for uploading. 2. Limited items. Where is the ""other"" category? I want to report a problem that does not fit into one of the categories. ""Other"" should be compulsory. 3. Why can I not unsubscribe from the mailing list in total? Only specific items? This violates our local laws. 4. Why only 500 characters in this field?"
1,"The app works fine, would be better if the city actually did anything. I reported sand in the road a half a dozen times now and they keep closing the ticket without doing anything about it. Time to go back to good ol' sue the city when the road conditions cause a crash or damage to your vehicle."
5,Efficient
5,Wow. It actually works
2,The location finder needs work. I downloaded this specifically to report a missing concrete cover in front of a bus bench. Somebody will break an ankle stepping into it. The location finder insisted I was in Colton when I was on Baseline in San Bernardino. Then the app stated the part of Baseline I was at was not in their jurisdiction. Am uninstalling the app. I did not realize 92410 is not part of the county. Am sure you will figure out the hazard location when an ambulance gets the call.
2,"O M G.. The number of emails they send is ridiculous. For every single thing people report in the city.. I reported one thing, and it got fixed, so the functionality is good. I apprec that it works. They just need to chill on the crazy amount of emails they send"
3,The request 'list' does not have a map option: clicking on a list item should focus the map.
1,"What started off as a good idea has transitioned into an app where all the ""Karen's"" of the world can have a safe space to complain about people less fortunate then them. Thanks to this app, the lives of thousands of unhoused/homeless people are constantly being challenged and harassed for being homeless. It's understandable that we have a problem with our homeless epidemic, it's only going to get worse. Instead of harassing homeless people, let's figure out a solution that works for everyone."
