,rating,review,app,source,sentiment
0,3,"i walked by a city electrical or some sort of cable box, and it was wide-open with wires were hanging everywhere. but when you’re in the app, there’s no category for this. or, another example is construction damage to roads, which isn’t a pothole issue, but more about the crappy job they did filling damage to the roads, almost making it worse. where do i report that?",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.37186989188194275}, {'label': 'disgust', 'score': 0.30924302339553833}]"
1,2,"the app is a cool idea and works great for submitting issues, but there is no detail or communication after you submit. my case was just marked “closed” one day and there were no details. even a single sentence would be nice. that was disappointing as i had hope for this app.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.7127492427825928}, {'label': 'surprise', 'score': 0.131089448928833}]"
2,4,it would be great if there was a way to cancel the request as sometimes the issue gets resolved and i feel guilty for making a request and don’t want to waste the time of the response team.,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.9845277667045593}, {'label': 'anger', 'score': 0.004552407655864954}]"
3,1,"this is a waste of taxpayer dollars. the city does no follow up or take action on abandoned car reports. after 60 days it all expires and you get a message saying “no action possible” and case closed. why would the city would spend money on an app to report things when it doesn’t have capacity to solve anything? not surprising, but still frustrating.",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.6911252737045288}, {'label': 'sadness', 'score': 0.1810951828956604}]"
4,1,"the app exists to create the appearance that seattle cares about people, they do nothing to address issues with sidewalks and accessibility. don’t bother with this app they don’t pay attention and you’re just wasting your time. if they cared they would audit the system they are in charge of and preemptively take action. these folks hate humans, particularly impaired ones.",FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.8386954665184021}, {'label': 'disgust', 'score': 0.09807270020246506}]"
5,2,"location map doesn’t allow search. very few categories compared to the variety of issues facing our city. only 3 stars on app store. sorry to be so critical, but there is no excuse for such a poorly managed app.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.8378803730010986}, {'label': 'surprise', 'score': 0.07364701479673386}]"
6,2,over a period of 48 hours i’ve reported an overtime parked car in a 30 min load zone with no acknowledgment or response. four other reports of parking by a hydrant/stop sign/no parking zone on four separate occupances have also been ignored. what’s up? is find it fix it still operable?,FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.4538242816925049}, {'label': 'neutral', 'score': 0.41585665941238403}]"
7,2,"the app will not let me submit reports on cellular data, only when i’m connected to wifi (yes, i’ve verified cellular data is enabled). this makes it almost useless, as the scope is for sdot row, and there’s very little wifi in the middle of the road.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.4398575723171234}, {'label': 'neutral', 'score': 0.29227131605148315}]"
8,4,"and if we used it, city would improve it. (tho i am also a bit puzzled by the complaints.)",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.9324445724487305}, {'label': 'neutral', 'score': 0.04203256964683533}]"
9,1,first the map picks and address about a mile away from where it located me. then it never allows the submit button to be active. there is t a place to report problems with the app. it kind of makes you think they don’t want to receive the reports.,FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.40346091985702515}, {'label': 'sadness', 'score': 0.3415171205997467}]"
10,1,this app is completely useless. the city just uses it to pretend they care about cleaning things up. all reports get closed immediately without fixing the issues or ignored entirely. don’t waste your time expecting city officials to do their jobs.,FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.4422842562198639}, {'label': 'neutral', 'score': 0.279619961977005}]"
