,rating,review,app,source,sentiment
0,2,"the interface appears to have moved to a web-based interface, but there’s no back button or way to return to the app’s main menu in certain cases. for instance, if i click ‘affordable housing’, i am sent to the city of san jose housing portal website within the app. from here there is no way to return to the app’s main menu other than force-quitting the app.",SanJose311,Apple,"[{'label': 'neutral', 'score': 0.8666632771492004}, {'label': 'surprise', 'score': 0.05749524012207985}]"
1,4,"update: i've used this app for issue on the road (traffic light outage and dangerous debris on the road), and the response continues to be extremely responsive. my reports were forwarded to the department of transportation both times and resolved that day. i have used this app three times to report illegal dumping and abandoned vehicles. i live in a neighborhood where people often dump large household items on the sidewalk and prior to installing this app, i would just get annoyed with it but didn't report it. with the three cases i filed, someone came around within 24 hours to collect the dumped items or came and tagged the abandoned vehicle, really quick response you typically wouldn't expect from the city! i can understand some people's gripe with some parts of the app though--for example, if you want to report a pothole while you're driving, it's a little difficult to do so. there is no location detector, so you'll always have to manually input your location. but, if you can get an approximate address of the location, that should give the city an idea of where the problem is. overall, i've had a great experience with this app and will continue to use it!",SanJose311,Apple,"[{'label': 'anger', 'score': 0.9056119918823242}, {'label': 'neutral', 'score': 0.04336385056376457}]"
2,1,"i was excited at first and after testing it out and finding many, many bugs, i spent some time and i wrote them all out and i had to send them to the city because there was no way to email feedback on the app. that was many months ago and to date, nothing has changed. i noticed some graffitti in my neighborhood and i took a snapshot quickly and drove away hoping that i could then upload it later on in the day. for some reason there are multiple folders that are made in photos that doesn't allow me to find the actual picture i took and so as far as i'm concerned, the photo to report is useless. in addition to that, it takes forever for the city to respond and so the level of frustration with me and my neighbors is so high, we are so over it. we just gave up. i stopped using the app.",SanJose311,Apple,"[{'label': 'anger', 'score': 0.7593063712120056}, {'label': 'sadness', 'score': 0.15025807917118073}]"
3,1,"where i live, there are 2 cars that are parked at a distance to save/hold parking spaces. both belong to the same owner. he hasn’t moved them for months. when he does move them, it’s only to make room to fit his third car. i reported it to the city because nobody can stand it anymore — there’s no parking, and people end up parking in red zones just because so many people decide to hold parking spots with extra cars. and as soon as i submitted the report, they closed it. that’s why nobody bothers reporting anymore: in the end, they don’t pay attention, and since it’s not them who have to live with the problem, they don’t care.",SanJose311,Apple,"[{'label': 'neutral', 'score': 0.39494451880455017}, {'label': 'anger', 'score': 0.20840875804424286}]"
4,1,"whoever is receiving the reports must be either working from home or lazy. they want you to document, take pictures, licence plates, color and descriptions of everything and then they closed the case without coming out to physically look at it because the pictures weren’t clear enough for them. get off your chair and come look at it in person. we report and you should follow up. ridiculous app! instead you could just call and complain and someone would just show up and tag it, report it and get it cleaned up. nobody wants to wait 5-10 days to hear from you. we can see it taken care of.",SanJose311,Apple,"[{'label': 'anger', 'score': 0.43583422899246216}, {'label': 'neutral', 'score': 0.3727613091468811}]"
5,5,"like many of you, i walk around my neighborhood. this app makes it easy to report issues.. i have taken pictures of graffiti and you can report the item and upload a photo. the city has a pretty quick response to most things reported in the app. a lot of streetlights we’re out and this makes getting them fixed easy. take a picture of the pole number take a picture of the address when you have a moment, select street lighting report the light and pole number and the city will get it onto a list to be repaired easier than a phone call- yes accountability to the ticket # generated- yes",SanJose311,Apple,"[{'label': 'neutral', 'score': 0.45402610301971436}, {'label': 'anger', 'score': 0.17666397988796234}]"
6,3,"i wish online reporting wasn’t relied on so much. i understand sj is massive but i feel like things are falling more through the cracks. i’ve reported my car vandalized by a neighbor 3 different times and never got anything back when using the app. i really wish it didn’t feel hopeless to ask the police for help. no camera no crime is what i am told. what happen to police work before cameras? :,c",SanJose311,Apple,"[{'label': 'sadness', 'score': 0.9916208982467651}, {'label': 'surprise', 'score': 0.002142255427315831}]"
7,1,"the app has its issues but that can be polished in time. the problem? they close cases without reason or with completely incorrect reasoning. report a abandoned car without license plates? closed because of not having license plate info! report a abandoned car with clear images of it on a public street? closed because it's on private property! report blight? closed because it's been reported already, yet it's still not resolved. or the same excuse san jose agencies always give, ""please be patient we are experiencing a high volume of requests""... lived here a long time with these high taxes but this is the excuse always given. think it's time to start purging city workers, either they are mismanaged, lazy or perhaps both but one thing for sure... they are far to expensive for what we receive. san jose residents deserve better. spend some time of the maps of your neighborhood reading the comments.",SanJose311,Apple,"[{'label': 'sadness', 'score': 0.6082148551940918}, {'label': 'surprise', 'score': 0.212162047624588}]"
8,1,"referred to this app for any city service. the app doesn’t allow to give exact addresses manually or by moving the map. it tells you an address doesn’t exist even after it automatically finds an address. nowhere near where you are. you put the address in the note section but, i guess the reader is illiterate. then they say they can’t find the car and close the complaint. just another piece of garbage to throw at the citizens that are already paying high taxes for non existent services. why do we need the mayor and its staff if they can’t do anything for the city",SanJose311,Apple,"[{'label': 'anger', 'score': 0.3163805603981018}, {'label': 'neutral', 'score': 0.2915046513080597}]"
9,1,"i decided to deleted the app and download it again in the hopes it would work. it stopped working for me when the app was ‘upgraded’ a couple of years ago. i was hoping bugs would have been worked out by now, sadly, that has not been my experience. when i press submit it hangs up until i finally close it or it crashes altogether. i’ve had better success with the 311 website but it would be nice to be able to use the app again. ☹️",SanJose311,Apple,"[{'label': 'sadness', 'score': 0.956928551197052}, {'label': 'surprise', 'score': 0.018591871485114098}]"
