,rating,review,app,source,sentiment
0,5,"i have used scf to report illegal signs on the public right-of-way for years. however, there are times when public works fails to do their job and then replies on the complaint that it has been done. this is particularly annoying when they turn off “public commenting” so that there is only one way to respond, ….. and that involves making a new request. this has happened recently at 3946 northside drive in macon, ga. public works has falsely stated (3 times) that the illegal signs and the illegal sign under construction had been removed. as of right now, the steel sign posts and the wooden sign posts are still in the same place, the public right-of-way. someone in authority needs to step up and take responsibility.",SeeClickFix,Apple,"[{'label': 'anger', 'score': 0.2836625576019287}, {'label': 'neutral', 'score': 0.2657470107078552}]"
1,1,"should be called seeclickbouncepuzzlebouncepuzzlemaybefix requires a street address even when i’ve geo-located the problem on my phone, so if the problem is along a park, as they often are, this app tries to put in an address on another nearby street. and the best i can correct this is to manually type in an address of a home adjacent to the park, on the right street but a block away. after having to look up that address in google maps. my municipality has found it necessary to implement about a dozen questions/checks for an issue, and even if i haven’t answered them all (because they are off the screen in the app), the app app still lets me hit submit, then gives me a big error message in little tiny type. you could say that’s the fault of my city’s implementation, but it still makes this app very difficult and time-consuming to use. i end up standing by the side of the road for 15-20 minutes trying to get it all straight.",SeeClickFix,Apple,"[{'label': 'neutral', 'score': 0.7738655805587769}, {'label': 'sadness', 'score': 0.1210162490606308}]"
2,5,"this app does exactly what you need it to do and is much easier than figuring out the address where you see an issue on the fly. only improvement that's coming to mind would be to have the option to pre-populate the type of report via your profile. for instance, i almost never report anything beyond graffiti. i'd love for my reports to default to graffiti so i don't have to scroll through the list of options every time to make the same selection.",SeeClickFix,Apple,"[{'label': 'neutral', 'score': 0.9576836824417114}, {'label': 'surprise', 'score': 0.0159897617995739}]"
3,1,"has stopped working with my local authorities and gps locks are also taking longer or don’t work properly to get current location since last update. the chance of all municipalities in two states no longer working with your system is pretty far fetched, so i’m going to chalk it up to an issue with the last update and location services. you need to fix this!!! app needs to be updated to use new ios 12+ photo attachment api which no longer requires apps to have static and individualized permissions to our photo libraries. the new api that’s been around since ios 12 and is now in 13 as well, allows for the app to be given access to any photo the user chooses without needing permissions to the camera roll. your app doesn’t work properly when the new ui tries to serve it the photo the user chooses. this needs to be fixed. worse app icon ever. am i fixing my heart or problems in the city/county i’m in? 🙄",SeeClickFix,Apple,"[{'label': 'sadness', 'score': 0.5029700994491577}, {'label': 'neutral', 'score': 0.25566980242729187}]"
4,3,"this is nothing but a copied and renamed version of commonwealth connect. i would be ok with that if they at least fixed some of the glitches and shortcomings of commonwealth connect. first of all, there’s no intuitive way to sort through issues in your neighborhood. second, there is really no help through the app to explain certain things. for example, what do the different colors of the pins actually represent? also, why is it that when i receive an email notification i can’t just click on the link and automatically open the app to that issue? instead, it opens a web browser which is much more difficult to navigate on a mobile device. i feel like this app is an excellent start to improving our community, but it really needs a better gui.",SeeClickFix,Apple,"[{'label': 'neutral', 'score': 0.7204856276512146}, {'label': 'surprise', 'score': 0.19353066384792328}]"
5,3,"this app is great, as it allows townspeople to report issues in their neighbourhood. a couple of things need improvement: it would be a great improvement using the search function to be able to filter by nearest incidents, having the most recent reports at the top. currently they sort and filter by location. one has to fish through the lot to find the newest. if i filter by newest, i get reports from adjacent communities, and have to go fishing through to find those for my town. there is no information on the list what town the incident relates to. i realize this may be difficult, and may require some work. possibly set a radius (miles?) from current location? or add some information to the list to know what town is reporting an issue. the communities often do not seem to close fixed incidents. i have an incident that was fixed but the town never closed the issue, even though it's been done for months. this is a town issue, and not an issue with the app. perhaps the user reporting can have the option to close the incident using the app. that way more items might be closed.",SeeClickFix,Apple,"[{'label': 'neutral', 'score': 0.741529643535614}, {'label': 'sadness', 'score': 0.10349491238594055}]"
6,1,"past: great tool for reporting and getting minor issues resolved. present: poor tool where duplicate, ongoing complaints are being erased and intentionally overlooked by the city ppl accessing this app. they are finding reasons not to acknowledge and address your written, legitimate complaints. trying to hide something... i don’t know what, but something. post and post for help to no avail. several caring complaints closed with no resolution. this app is now a joke that is simply not funny. city taxes paid, but this city rudely stops you from posting a complaint until they review and revise what you are actually complaining about. would do better sending a news cam for exposure. trying to make memphis a better place, but the real issues are covered up. unprofessionally awful in many ways! you started this system- why stop now!",SeeClickFix,Apple,"[{'label': 'sadness', 'score': 0.8394525051116943}, {'label': 'surprise', 'score': 0.08036180585622787}]"
7,1,"to report and to get results is usually quite good! where are you are sorely lacking and have been for years is when you report back to say that the problem has been fixed you don’t receive or ignore that so 1065 days later i still get the same question on the same issue over and over again that’s where this app really needs to be fixed! somebody is dropping the ball at the end and it’s frustrating. and i’d like to add that, it doesn’t matter how many times i report back thatthe issue has been fixed… still get the question a few months later asking if it has it been fixed…. some of my issues have been close to 2000 days waiting for you guys to get the message. so fix that issue and you’ll get five stars for me! and thank you for the survey‼️",SeeClickFix,Apple,"[{'label': 'sadness', 'score': 0.5410230159759521}, {'label': 'surprise', 'score': 0.2545868754386902}]"
8,1,"this apps seems useless. i reported an illegal dump; big bundle of trash dumped in the middle of the road. several days later the app indicated that the issue was closed, but the trash was still there. i called the office and they said that someone came out and pushed the garbage to the side to make the road safe. what? i asked why did they not remove the trash. he said maybe they didn't have the proper equipment. what? what did they think they were coming out for related to an illegal dump. he said he would contact a supervisor and see if they can get this cleanup expedited. here it is a week later and still the trash remains. i don't know if this problem is specific to oakland, but i do know that it is very frustrating and suggestive of a dysfunctional app and city.",SeeClickFix,Apple,"[{'label': 'surprise', 'score': 0.5940501093864441}, {'label': 'sadness', 'score': 0.2630159556865692}]"
9,2,"when i attempted to report an issue, i filled out all the required fields. there was no exact address - it was just in the middle of a road, no house number. i listed the road name as the address. it would not submit and kept popping up a field that said there was no location listed. there was indeed a location listed, so i don't understand why it was giving me the error. i had to use the full site (on a phone, which was a nightmare), and when i entered the exact same info, it submitted easily. i cannot believe this is human error as i did complete all required fields and drop-downs in app reporting an issue. please check into it.",SeeClickFix,Apple,"[{'label': 'surprise', 'score': 0.9060335159301758}, {'label': 'neutral', 'score': 0.04561006277799606}]"
