,rating,review,app,source,sentiment,normalized_review,theme
1,2,"the app is a cool idea and works great for submitting issues, but there is no detail or communication after you submit. my case was just marked “closed” one day and there were no details. even a single sentence would be nice. that was disappointing as i had hope for this app.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.7127492427825928}, {'label': 'surprise', 'score': 0.131089448928833}]",cool idea work great submit issue detail communication submit case mark closed day detail single sentence nice disappointing hope,12_ui_box_text_screen
3,1,"this is a waste of taxpayer dollars. the city does no follow up or take action on abandoned car reports. after 60 days it all expires and you get a message saying “no action possible” and case closed. why would the city would spend money on an app to report things when it doesn’t have capacity to solve anything? not surprising, but still frustrating.",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.6911252737045288}, {'label': 'sadness', 'score': 0.1810951828956604}]",waste taxpayer dollar follow action abandon car day expire message action possible case close spend money thing capacity solve surprising frustrating,0_car_enforcement_case_street
4,1,"the app exists to create the appearance that seattle cares about people, they do nothing to address issues with sidewalks and accessibility. don’t bother with this app they don’t pay attention and you’re just wasting your time. if they cared they would audit the system they are in charge of and preemptively take action. these folks hate humans, particularly impaired ones.",FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.8386954665184021}, {'label': 'disgust', 'score': 0.09807270020246506}]",exist create appearance care address issue sidewalk accessibility bother pay attention waste time care audit system charge preemptively action folk hate human particularly impair,-1_edit_post_website_new
5,2,"location map doesn’t allow search. very few categories compared to the variety of issues facing our city. only 3 stars on app store. sorry to be so critical, but there is no excuse for such a poorly managed app.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.8378803730010986}, {'label': 'surprise', 'score': 0.07364701479673386}]",location map allow search category compare variety issue face star store sorry critical excuse poorly manage,5_location_map_category_gps
6,2,over a period of 48 hours i’ve reported an overtime parked car in a 30 min load zone with no acknowledgment or response. four other reports of parking by a hydrant/stop sign/no parking zone on four separate occupances have also been ignored. what’s up? is find it fix it still operable?,FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.4538242816925049}, {'label': 'neutral', 'score': 0.41585665941238403}]",period hour overtime park car min load zone acknowledgment response parking hydrant stop sign parking zone separate occupance ignore find fix operable,0_car_enforcement_case_street
7,2,"the app will not let me submit reports on cellular data, only when i’m connected to wifi (yes, i’ve verified cellular data is enabled). this makes it almost useless, as the scope is for sdot row, and there’s very little wifi in the middle of the road.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.4398575723171234}, {'label': 'neutral', 'score': 0.29227131605148315}]",let submit cellular datum connect wifi yes verify cellular datum enable useless scope sdot row little wifi middle road,13_network_connect_connection_verify
9,1,first the map picks and address about a mile away from where it located me. then it never allows the submit button to be active. there is t a place to report problems with the app. it kind of makes you think they don’t want to receive the reports.,FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.40346091985702515}, {'label': 'sadness', 'score': 0.3415171205997467}]",map pick address mile away locate allow submit button active place problem kind think want receive,5_location_map_category_gps
10,1,this app is completely useless. the city just uses it to pretend they care about cleaning things up. all reports get closed immediately without fixing the issues or ignored entirely. don’t waste your time expecting city officials to do their jobs.,FindItFixIt,Apple,"[{'label': 'anger', 'score': 0.4422842562198639}, {'label': 'neutral', 'score': 0.279619961977005}]",completely useless use pretend care clean thing close immediately fix issue ignore entirely waste time expect official job,-1_edit_post_website_new
11,1,"city of seattle doesn’t do their “fix it” part, and they removed the most needed parking violation report, because the city doesn’t provide services to citizens. not worth getting your hopes up that something will be done by your city government.",FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.5582297444343567}, {'label': 'neutral', 'score': 0.2861595153808594}]",fix remove need parking violation provide service citizen worth hope government,0_car_enforcement_case_street
12,1,"reports often closed at random, without resolution. sometimes repeated reports will get it fixed, sometimes not. provide feedback on why you are closing the ticket",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.576153576374054}, {'label': 'sadness', 'score': 0.19366589188575745}]",close random resolution repeat fix provide feedback close ticket,3_close_waste time_waste_complete
