,rating,review,app,source,sentiment,normalized_review,theme
2,4,it would be great if there was a way to cancel the request as sometimes the issue gets resolved and i feel guilty for making a request and don’t want to waste the time of the response team.,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.9845277667045593}, {'label': 'anger', 'score': 0.004552407655864954}]",great way cancel request issue resolve feel guilty request want waste time response team,1_far_issue fix_thing fix_bug
8,4,"and if we used it, city would improve it. (tho i am also a bit puzzled by the complaints.)",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.9324445724487305}, {'label': 'neutral', 'score': 0.04203256964683533}]",improve tho bit puzzled complaint,1_far_issue fix_thing fix_bug
16,5,awesome that we have this as a city. app works great.,FindItFixIt,Apple,"[{'label': 'joy', 'score': 0.7054764628410339}, {'label': 'surprise', 'score': 0.2501121163368225}]",awesome work great,0_quick response_quick_response_response time
23,5,"the reviews ‘is anyone there?’ and ‘ ...useless’ are very unfair about the great effort seattle is making to keep our city pulled together. i get that they didn’t get an immediate response but i can’t see how they don’t understand that it’s a big city and things get addressed only as the resources are available - that’s true for everybody on a personal level and more so on an institutional level. i use this app a fair amount and i can see the results as well as email explanations of where the request got routed and when it’s likely to be addressed. they also give me links that explain policy and programs that the city has enacted. all that is really useful and it should be appreciated that the city cannot control the bad behavior and irresponsibility that cause many of these issues in the first place. they are reaching out to the general public for an extra set of eyes to help keep up. i think that’s great, i’m proud of our city for doing it and i hope they keep findit fixit going.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.41417697072029114}, {'label': 'anger', 'score': 0.3651553988456726}]",review useless unfair great effort pull immediate response understand big thing address resource available true everybody personal level institutional level use fair result email explanation request rout likely address link explain policy program enact useful appreciate control bad behavior irresponsibility cause issue place reach general public extra set eye help think great proud hope findit fixit,7_review_needle_general_litter
26,5,"looks like most all the low ratings are rants from people venting about the current state of the city. this app works very well, simple, intuitive, a very good way to efficiently communicate various common issues spotted in the streets of seattle. i’ve fou t the crew on the other side of the app to be very responsive, either fixing dangerous potholes within a couple days, for instance, or quickly getting back to me to explain what was going on. no, it’s not a panacea, all pet peeves won’t always get fixed - through no fault of this app. thanks for opening this handy communication channel between citizens and civil servants.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.5032576322555542}, {'label': 'joy', 'score': 0.2135779708623886}]",look like low rating rant vent current state work simple intuitive good way efficiently communicate common issue spot street fou crew responsive fix dangerous pothole couple day instance quickly explain panacea pet peeve fix fault thank open handy communication channel citizen civil servant,-1_county_work great_close_communicate
27,4,"i’ve reported dozens of instances of city roots raising sidewalks, creating tripping hazards. the city has fixed the majority of them within 24-48 hours of reporting them in some cases. the app isn’t perfect and some tickets for things like abandoned vehicles in an alley or overgrown brush blocking sidewalks don’t get addressed because it is up the homeowner or vehicle owner to deal with their crappy eyesores and lack of care. but at least it seems that whatever is in the power of the city to easily deal with gets logged and fixed fairly promptly. even a pothole in an intersection was tagged for repair within a couple business days of my reporting it.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.9314447045326233}, {'label': 'sadness', 'score': 0.018790513277053833}]",dozen instance root raise sidewalk create tripping hazard fix majority hour case perfect ticket thing like abandon vehicle alley overgrown brush block sidewalk address homeowner vehicle owner deal crappy eyesore lack care power easily deal gets log fix fairly promptly pothole intersection tag repair couple business day,2_pothole_hole_pot hole_pot
28,5,"our family with two kids live in a great seattle neighborhood with neat parks and lots of things to do. we love using this app so we can productively file our concerns about illegal encampments, litter piling up, illegal parking, and illegal dumping to the city. we find it very effective in addressing the issues we see and they do get addressed. when they don’t, we submit another ticket. it works. stop gossiping on next door and do something that can be truly tracked. you can help our neighborhoods be safe for families.",FindItFixIt,Apple,"[{'label': 'neutral', 'score': 0.49455299973487854}, {'label': 'joy', 'score': 0.2976856529712677}]",family kid live great neighborhood neat park lot thing love productively file concern illegal encampment litter pile illegal parking illegal dumping find effective address issue address submit ticket work stop gossip door truly track help neighborhood safe family,7_review_needle_general_litter
30,5,"i've only used it to report graffiti. i was surprised how easy it was, much better and faster than calling it in. you can take a picture, use gps, write descriptions, and give your contact info if you want updates. they came out in a few days and painted over the graffiti. since you are sending so much info it's best to be on lte or wifi when you submit, otherwise it takes a while. there needs to be more apps like this.",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.9799988865852356}, {'label': 'neutral', 'score': 0.010624570772051811}]",graffiti surprised easy fast picture use gps write description contact info want update come day paint graffiti send info good lte wifi submit need like,3_graffiti_list_light_car
31,5,"i was very skeptical about the city's ability to respond quickly to the volume of requests that would stem from an interface like this, but i was pleasantly surprised! i submitted a request for a tree to be trimmed that was dangerously blocking sight lines for drivers and pedestrians, and the work was done by close of business the same day. i also like the clean and simple design of the app. if the city can keep up the good work, this will be a great tool.",FindItFixIt,Apple,"[{'label': 'surprise', 'score': 0.9650381803512573}, {'label': 'joy', 'score': 0.018115006387233734}]",skeptical ability respond quickly volume request stem interface like pleasantly surprised submit request tree trim dangerously block sight line driver pedestrian work close business day like clean simple design good work great tool,3_graffiti_list_light_car
32,5,i have used this app to report my street for icy conditions. signs were put up within hours. i have reported many pothole and steer issues and all have been fixed within days. so e potholes were even filled to cover the few days before the road was completely re paved.,FindItFixIt,Apple,"[{'label': 'sadness', 'score': 0.5783793926239014}, {'label': 'neutral', 'score': 0.17365707457065582}]",street icy condition sign hour pothole steer issue fix day e pothole fill cover day road completely pave,2_pothole_hole_pot hole_pot
