Question Type,Interviewer,Question,Respondent 1,Respondent 2,Notes
Quantitative,Andrew,Observation: Count how many times the user took an incorrect action to determine if there are any roadblocks or unclear actions.,1,1,
,,"Q1. ""Completing the reporting process in this app felt easy."" (1 = strongly disagree, 5 = strongly agree)",5,5,
,,"Q2. ""Using this app was an enjoyable experience."" (1 = strongly disagree, 5 = strongly agree) ",5,4,
,,"Q3. ""The app gave me clear information about what would happen after I submitted a report."" (1 = strongly disagree, 5 = strongly agree)",4,4,
,,"Q4. ""If I submitted a report using this app, I believe it would lead to real action from the city."" (1 = strongly disagree, 5 = strongly agree)",4,5,
,,"Q5. ""If this app were available in my city, I would use it to report a civic issue."" (1 = strongly disagree, 5 = strongly agree)",5,5,
Quantitative,Hyejin,Observation: Count how many times the user took an incorrect action to determine if there are any roadblocks or unclear actions.,0,0,
,,"Q1. ""Completing the reporting process in this app felt easy."" (1 = strongly disagree, 5 = strongly agree)",5,4,
,,"Q2. ""Using this app was an enjoyable experience."" (1 = strongly disagree, 5 = strongly agree) ",4,4,
,,"Q3. ""The app gave me clear information about what would happen after I submitted a report."" (1 = strongly disagree, 5 = strongly agree)",5,5,
,,"Q4. ""If I submitted a report using this app, I believe it would lead to real action from the city."" (1 = strongly disagree, 5 = strongly agree)",5,4,
,,"Q5. ""If this app were available in my city, I would use it to report a civic issue."" (1 = strongly disagree, 5 = strongly agree)",4,3,
Quantitative,Patrick,Observation: Count how many times the user took an incorrect action to determine if there are any roadblocks or unclear actions.,3,0,"1. got side tracked testing out character limits in the phone number entry field. 2. when trying to change location, noticing the home map doesn't remember the location change. 3. cannot edit the report issue/location after it is submitted. can edit the description."
,,"Q1. ""Completing the reporting process in this app felt easy."" (1 = strongly disagree, 5 = strongly agree)",5,5,
,,"Q2. ""Using this app was an enjoyable experience."" (1 = strongly disagree, 5 = strongly agree) ",5,5,
,,"Q3. ""The app gave me clear information about what would happen after I submitted a report."" (1 = strongly disagree, 5 = strongly agree)",5,5,
,,"Q4. ""If I submitted a report using this app, I believe it would lead to real action from the city."" (1 = strongly disagree, 5 = strongly agree)",4,5,
,,"Q5. ""If this app were available in my city, I would use it to report a civic issue."" (1 = strongly disagree, 5 = strongly agree)",4,5,
